City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Mitu,CO,2022-05-14 16:25:23,1.1983,-70.1733,73.76,99,100,1.72
68,Pisco,PE,2022-05-14 16:25:23,-13.7,-76.2167,66.25,77,40,9.22
69,Georgetown,MY,2022-05-14 16:22:26,5.4112,100.3354,85.95,79,20,5.75
70,Arraial Do Cabo,BR,2022-05-14 16:25:24,-22.9661,-42.0278,78.76,61,20,8.05
71,Chumikan,RU,2022-05-14 16:25:25,54.7183,135.315,31.1,98,100,4.97
72,Chapleau,CA,2022-05-14 16:25:26,47.8405,-83.4034,80.69,39,75,9.22
73,Mount Isa,AU,2022-05-14 16:25:26,-20.7333,139.5,56.97,77,0,4.61
74,Castro,BR,2022-05-14 16:25:27,-24.7911,-50.0119,70.18,52,100,5.01
75,Port Macquarie,AU,2022-05-14 16:25:28,-31.4333,152.9167,65.89,91,83,7.49
76,Buala,SB,2022-05-14 16:25:28,-8.145,159.5921,79.2,83,10,0.69
77,Leningradskiy,RU,2022-05-14 16:22:20,69.3833,178.4167,27.1,86,89,5.91
78,Palmer,US,2022-05-14 16:22:31,42.1584,-72.3287,83.95,55,75,5.75
79,Ust-Nera,RU,2022-05-14 16:25:30,64.5667,143.2,29.55,97,100,3.02
80,Katherine,AU,2022-05-14 16:25:31,-14.4667,132.2667,68.32,68,65,0.0
81,Khatanga,RU,2022-05-14 16:25:31,71.9667,102.5,33.24,100,100,6.6
82,Talnakh,RU,2022-05-14 16:25:32,69.4865,88.3972,35.26,99,100,5.86
83,Pinheiro,BR,2022-05-14 16:23:34,-2.5214,-45.0825,86.49,68,92,6.13
84,Saskylakh,RU,2022-05-14 16:22:56,71.9167,114.0833,19.58,91,99,8.43
85,Danjiangkou,CN,2022-05-14 16:25:33,32.5428,111.5086,55.71,80,100,5.01
86,Thompson,CA,2022-05-14 16:25:34,55.7435,-97.8558,37.56,100,100,13.8
87,Katsuura,JP,2022-05-14 16:25:35,35.1333,140.3,66.45,90,67,10.63
88,Chokurdakh,RU,2022-05-14 16:24:18,70.6333,147.9167,8.2,96,99,4.36
89,Gat,IL,2022-05-14 16:25:36,31.61,34.7642,90.39,41,100,11.99
90,Butaritari,KI,2022-05-14 16:25:37,3.0707,172.7902,80.47,76,100,8.01
91,Ancud,CL,2022-05-14 16:24:22,-41.8697,-73.8203,53.38,72,54,4.54
92,Otane,NZ,2022-05-14 16:25:38,-39.8833,176.6333,56.01,88,98,3.06
93,Juba,SS,2022-05-14 16:25:44,4.8517,31.5825,87.03,40,58,1.32
